step,t_rel,q0,q1,q2,q3,q4,q5,finger,tcp_x,tcp_y,tcp_z,box_x,box_y,box_z,box_qw,box_qx,box_qy,box_qz,target_x,target_y,target_z,box_to_target_dist,action0,action1,action2,action3,action4,action5,action6
31,0.62,-0.33093881727656466,-1.5258744042145862,1.7276411926281188,-1.7657908668279894,-1.7530387252247572,0.13459661589992805,0.0007661676728415405,0.3143445196147336,-0.015204669377237929,0.12013358852886247,0.31909260273625517,-0.015754598626559715,0.11491817998467521,0.9996720049148996,-6.34467552482765e-08,7.049369075234366e-08,0.025610204790599233,0.212,0.212,0.165,0.25661093400792195,0.18158358335494995,-0.41026580333709717,-0.2693648636341095,0.2788839638233185,0.5950296521186829,-0.0935652107000351,0.1893158257007599
32,0.64,-0.3320284721267205,-1.5132636978565759,1.7277717739137373,-1.7711099679574434,-1.7445101514437928,0.14001824733566884,0.002848751783093728,0.31565528091966105,-0.014069838719672573,0.11595692266096669,0.31918356625493627,-0.015636105411455978,0.11490622392050477,0.9996723929586779,-0.0006912431176440816,0.000528144111559744,0.025580265890350465,0.212,0.212,0.165,0.2565460967622084,0.29075324535369873,-0.6672901511192322,-0.4945928454399109,0.489928275346756,0.5449247360229492,-0.2843412756919861,0.4790501296520233
33,0.66,-0.33164755718595823,-1.5047178132090238,1.725119387763342,-1.773875050701405,-1.735577893625775,0.14355367224846557,0.004760405572163366,0.3172540656800476,-0.012443962884107183,0.11355020061863949,0.3204195806649797,-0.013765129732132921,0.11500584755267255,0.9996315736313368,-0.007017886478189177,0.006067242906650478,0.02550793665173637,0.212,0.212,0.165,0.25539012227073987,0.370278000831604,-0.7229297161102295,-0.7051490545272827,0.5292626023292542,0.37319713830947876,-0.3554232120513916,0.5440847277641296
34,0.68,-0.3293426783842316,-1.4996157903774547,1.719815399484251,-1.7742574499826937,-1.7263842835952343,0.1454236287612712,0.006149522407285139,0.31920996356692277,-0.010263591212018851,0.11282091127667465,0.3220225688036138,-0.011588632846738271,0.11524153492475833,0.9996139193015474,-0.015546280606242129,0.010921995403154732,0.020274010810041678,0.212,0.212,0.165,0.25411168259460937,0.5075716376304626,-0.6742409467697144,-0.7551069855690002,0.5417899489402771,0.24707402288913727,-0.33694958686828613,0.5217752456665039
35,0.7000000000000001,-0.3247588394476239,-1.4974852788512867,1.7121176910482896,-1.7723961472940453,-1.7171436550084849,0.14576110955392343,0.007428852991658707,0.3214413681566911,-0.007440121190948071,0.11356738630590027,0.3242207036159929,-0.008483653333451847,0.11638180580322112,0.9995600237745245,-0.025464621675370527,0.012381962664838151,0.008831699461013481,0.212,0.212,0.165,0.25213142706590547,0.6493296027183533,-0.6458809971809387,-0.7564905881881714,0.5704871416091919,0.2041035145521164,-0.3489851951599121,0.5549315214157104
36,0.72,-0.3177540988622879,-1.4978740408565454,1.70234359387565,-1.7685027914457705,-1.707902639201067,0.14481393891646016,0.008198880087645265,0.32386557710944497,-0.0038763570286226637,0.11559410390339978,0.3264811716749904,-0.004851323441647,0.11863979634131122,0.9994500634376101,-0.03176863729306294,0.008920613170368834,-0.0032782677993942384,0.212,0.212,0.165,0.2495590183298282,0.737567126750946,-0.5970630049705505,-0.7251049876213074,0.5772939920425415,0.19870418310165405,-0.31664058566093445,0.5168606638908386
37,0.74,-0.3083410322107551,-1.5004257297542707,1.690902931426801,-1.7626022915659372,-1.6985824972132055,0.14283193392344642,0.008691584123131247,0.3263378652288739,0.0004886040648330835,0.11870354610152978,0.3286863979896378,-0.0005352120345149716,0.12195908123845935,0.9991857761221252,-0.03657287222274813,0.00362002743294587,-0.01664647752498638,0.212,0.212,0.165,0.2462507919138331,0.7998213768005371,-0.5543997883796692,-0.6481634378433228,0.6350229382514954,0.2632017731666565,-0.28486284613609314,0.5115408301353455
38,0.76,-0.29665418803707966,-1.5047054014201462,1.6783310567980132,-1.7547982886702231,-1.6890266720362,0.1400993332834527,0.00951431904087296,0.32867474146598685,0.0057304839626528305,0.12262786251701052,0.3312537743835281,0.0047985130329656804,0.12601841957171359,0.9983809074977954,-0.03782933012476839,-0.00475114179031166,-0.04221293614377702,0.212,0.212,0.165,0.2422260979307442,0.820068895816803,-0.4911935031414032,-0.5482498407363892,0.6537168025970459,0.3020515739917755,-0.23552383482456207,0.4967443346977234
39,0.78,-0.2831148870347013,-1.510001190203705,1.665074159821457,-1.74534410833963,-1.6794242259871084,0.13687815029442538,0.010567551299527167,0.33071505233447646,0.011763291574909542,0.12705687280397354,0.33373220819802935,0.010881394817418144,0.13050516008391644,0.9963935501864928,-0.03849721652293146,-0.013319704874707315,-0.07443415162944259,0.212,0.212,0.165,0.2376074869278993,0.7548315525054932,-0.3379102647304535,-0.4581499397754669,0.6334646940231323,0.2374364733695984,-0.18746691942214966,0.37074917554855347
40,0.8,-0.2681149123756487,-1.5157429317969426,1.6515636696438964,-1.734197033330522,-1.6697501099896974,0.13331529162235833,0.011565219722841392,0.33228482786446356,0.018476946617151147,0.13166914580920291,0.33563361705697325,0.017604355586641307,0.13511003019696538,0.993397289490754,-0.038377348492080854,-0.020776841536646124,-0.10610055235908061,0.212,0.212,0.165,0.232310886805379,0.7045096755027771,-0.2209954410791397,-0.36656227707862854,0.6949032545089722,0.2599724233150482,-0.16526971757411957,0.22843855619430542
