config_id,seed,episode_id,repeat,cube_size,term,domain,scaled_return_H,achieved_hz,overrun_count,stop_reason,protocol_hash,policy_run_id
L0_none,1,3,2,3cm,box_target,sim,0.0,,0.0,horizon_complete,c7ad7014f7344e1527a0f032778d39a04fe430eeea7e30a8462ea55a73a75b99,L0_none_vel_s1_20260729_104930_2201
L0_none,1,3,2,3cm,hold_target,sim,0.0,,0.0,horizon_complete,c7ad7014f7344e1527a0f032778d39a04fe430eeea7e30a8462ea55a73a75b99,L0_none_vel_s1_20260729_104930_2201
L0_none,1,3,2,3cm,no_floor_collision,sim,13.0,,0.0,horizon_complete,c7ad7014f7344e1527a0f032778d39a04fe430eeea7e30a8462ea55a73a75b99,L0_none_vel_s1_20260729_104930_2201
L0_none,1,3,2,3cm,robot_target_qpos,sim,1.7642575800418752,,0.0,horizon_complete,c7ad7014f7344e1527a0f032778d39a04fe430eeea7e30a8462ea55a73a75b99,L0_none_vel_s1_20260729_104930_2201
L0_none,1,3,2,3cm,action_rate,sim,-7.2701452409009875,,0.0,horizon_complete,c7ad7014f7344e1527a0f032778d39a04fe430eeea7e30a8462ea55a73a75b99,L0_none_vel_s1_20260729_104930_2201
L0_none,1,3,3,3cm,gripper_box,sim,100.97236263751984,,0.0,horizon_complete,c7ad7014f7344e1527a0f032778d39a04fe430eeea7e30a8462ea55a73a75b99,L0_none_vel_s1_20260729_104930_2201
L0_none,1,3,3,3cm,approach_open,sim,44.032201998383236,,0.0,horizon_complete,c7ad7014f7344e1527a0f032778d39a04fe430eeea7e30a8462ea55a73a75b99,L0_none_vel_s1_20260729_104930_2201
L0_none,1,3,3,3cm,gripper_align,sim,261.72007660381496,,0.0,horizon_complete,c7ad7014f7344e1527a0f032778d39a04fe430eeea7e30a8462ea55a73a75b99,L0_none_vel_s1_20260729_104930_2201
L0_none,1,3,3,3cm,grasp,sim,0.0,,0.0,horizon_complete,c7ad7014f7344e1527a0f032778d39a04fe430eeea7e30a8462ea55a73a75b99,L0_none_vel_s1_20260729_104930_2201
L0_none,1,3,3,3cm,lift,sim,0.0,,0.0,horizon_complete,c7ad7014f7344e1527a0f032778d39a04fe430eeea7e30a8462ea55a73a75b99,L0_none_vel_s1_20260729_104930_2201
L0_none,1,3,3,3cm,box_target,sim,0.0,,0.0,horizon_complete,c7ad7014f7344e1527a0f032778d39a04fe430eeea7e30a8462ea55a73a75b99,L0_none_vel_s1_20260729_104930_2201
L0_none,1,3,3,3cm,hold_target,sim,0.0,,0.0,horizon_complete,c7ad7014f7344e1527a0f032778d39a04fe430eeea7e30a8462ea55a73a75b99,L0_none_vel_s1_20260729_104930_2201
L0_none,1,3,3,3cm,no_floor_collision,sim,31.5,,0.0,horizon_complete,c7ad7014f7344e1527a0f032778d39a04fe430eeea7e30a8462ea55a73a75b99,L0_none_vel_s1_20260729_104930_2201
L0_none,1,3,3,3cm,robot_target_qpos,sim,1.7595845639705543,,0.0,horizon_complete,c7ad7014f7344e1527a0f032778d39a04fe430eeea7e30a8462ea55a73a75b99,L0_none_vel_s1_20260729_104930_2201
L0_none,1,3,3,3cm,action_rate,sim,-8.209041145764044,,0.0,horizon_complete,c7ad7014f7344e1527a0f032778d39a04fe430eeea7e30a8462ea55a73a75b99,L0_none_vel_s1_20260729_104930_2201
L0_none,1,4,1,3cm,gripper_box,sim,1.6030431985854905,,0.0,horizon_complete,c7ad7014f7344e1527a0f032778d39a04fe430eeea7e30a8462ea55a73a75b99,L0_none_vel_s1_20260729_104930_2201
L0_none,1,4,1,3cm,approach_open,sim,115.02859903432545,,0.0,horizon_complete,c7ad7014f7344e1527a0f032778d39a04fe430eeea7e30a8462ea55a73a75b99,L0_none_vel_s1_20260729_104930_2201
L0_none,1,4,1,3cm,gripper_align,sim,21.131343595770872,,0.0,horizon_complete,c7ad7014f7344e1527a0f032778d39a04fe430eeea7e30a8462ea55a73a75b99,L0_none_vel_s1_20260729_104930_2201
L0_none,1,4,1,3cm,grasp,sim,0.0,,0.0,horizon_complete,c7ad7014f7344e1527a0f032778d39a04fe430eeea7e30a8462ea55a73a75b99,L0_none_vel_s1_20260729_104930_2201
L0_none,1,4,1,3cm,lift,sim,0.0,,0.0,horizon_complete,c7ad7014f7344e1527a0f032778d39a04fe430eeea7e30a8462ea55a73a75b99,L0_none_vel_s1_20260729_104930_2201
L0_none,1,4,1,3cm,box_target,sim,0.0,,0.0,horizon_complete,c7ad7014f7344e1527a0f032778d39a04fe430eeea7e30a8462ea55a73a75b99,L0_none_vel_s1_20260729_104930_2201
L0_none,1,4,1,3cm,hold_target,sim,0.0,,0.0,horizon_complete,c7ad7014f7344e1527a0f032778d39a04fe430eeea7e30a8462ea55a73a75b99,L0_none_vel_s1_20260729_104930_2201
L0_none,1,4,1,3cm,no_floor_collision,sim,100.0,,0.0,horizon_complete,c7ad7014f7344e1527a0f032778d39a04fe430eeea7e30a8462ea55a73a75b99,L0_none_vel_s1_20260729_104930_2201
L0_none,1,4,1,3cm,robot_target_qpos,sim,5.629424482583991,,0.0,horizon_complete,c7ad7014f7344e1527a0f032778d39a04fe430eeea7e30a8462ea55a73a75b99,L0_none_vel_s1_20260729_104930_2201
L0_none,1,4,1,3cm,action_rate,sim,-0.9074975488421757,,0.0,horizon_complete,c7ad7014f7344e1527a0f032778d39a04fe430eeea7e30a8462ea55a73a75b99,L0_none_vel_s1_20260729_104930_2201
L0_none,1,4,2,3cm,gripper_box,sim,1.599551916122417,,0.0,horizon_complete,c7ad7014f7344e1527a0f032778d39a04fe430eeea7e30a8462ea55a73a75b99,L0_none_vel_s1_20260729_104930_2201
L0_none,1,4,2,3cm,approach_open,sim,115.03188124001008,,0.0,horizon_complete,c7ad7014f7344e1527a0f032778d39a04fe430eeea7e30a8462ea55a73a75b99,L0_none_vel_s1_20260729_104930_2201
L0_none,1,4,2,3cm,gripper_align,sim,21.04436795256332,,0.0,horizon_complete,c7ad7014f7344e1527a0f032778d39a04fe430eeea7e30a8462ea55a73a75b99,L0_none_vel_s1_20260729_104930_2201
L0_none,1,4,2,3cm,grasp,sim,0.0,,0.0,horizon_complete,c7ad7014f7344e1527a0f032778d39a04fe430eeea7e30a8462ea55a73a75b99,L0_none_vel_s1_20260729_104930_2201
L0_none,1,4,2,3cm,lift,sim,0.0,,0.0,horizon_complete,c7ad7014f7344e1527a0f032778d39a04fe430eeea7e30a8462ea55a73a75b99,L0_none_vel_s1_20260729_104930_2201
L0_none,1,4,2,3cm,box_target,sim,0.0,,0.0,horizon_complete,c7ad7014f7344e1527a0f032778d39a04fe430eeea7e30a8462ea55a73a75b99,L0_none_vel_s1_20260729_104930_2201
L0_none,1,4,2,3cm,hold_target,sim,0.0,,0.0,horizon_complete,c7ad7014f7344e1527a0f032778d39a04fe430eeea7e30a8462ea55a73a75b99,L0_none_vel_s1_20260729_104930_2201
L0_none,1,4,2,3cm,no_floor_collision,sim,100.0,,0.0,horizon_complete,c7ad7014f7344e1527a0f032778d39a04fe430eeea7e30a8462ea55a73a75b99,L0_none_vel_s1_20260729_104930_2201
L0_none,1,4,2,3cm,robot_target_qpos,sim,5.629146409034721,,0.0,horizon_complete,c7ad7014f7344e1527a0f032778d39a04fe430eeea7e30a8462ea55a73a75b99,L0_none_vel_s1_20260729_104930_2201
L0_none,1,4,2,3cm,action_rate,sim,-0.9025313038970048,,0.0,horizon_complete,c7ad7014f7344e1527a0f032778d39a04fe430eeea7e30a8462ea55a73a75b99,L0_none_vel_s1_20260729_104930_2201
L0_none,1,4,3,3cm,gripper_box,sim,1.598069906234722,,0.0,horizon_complete,c7ad7014f7344e1527a0f032778d39a04fe430eeea7e30a8462ea55a73a75b99,L0_none_vel_s1_20260729_104930_2201
L0_none,1,4,3,3cm,approach_open,sim,115.0493542501872,,0.0,horizon_complete,c7ad7014f7344e1527a0f032778d39a04fe430eeea7e30a8462ea55a73a75b99,L0_none_vel_s1_20260729_104930_2201
